,id,code,day,net_value,sum_value,factor,acc_factor,refactor_net_value
0,12053633,000968,2019-07-15,0.9273,0.9273,1.0,1.0,0.9273
1,12041448,000968,2019-07-12,0.9234,0.9234,1.0,1.0,0.9234
2,12032797,000968,2019-07-11,0.9178,0.9178,1.0,1.0,0.9178
3,12022884,000968,2019-07-10,0.9157,0.9157,1.0,1.0,0.9157
4,12003084,000968,2019-07-09,0.9162,0.9162,1.0,1.0,0.9162
5,11999220,000968,2019-07-08,0.9172,0.9172,1.0,1.0,0.9172
6,11992056,000968,2019-07-05,0.9402,0.9402,1.0,1.0,0.9402
7,11969311,000968,2019-07-04,0.9335,0.9335,1.0,1.0,0.9335
8,11969310,000968,2019-07-03,0.9445,0.9445,1.0,1.0,0.9445
9,11982837,000968,2019-07-02,0.9555,0.9555,1.0,1.0,0.9555
10,11953502,000968,2019-07-01,0.9543,0.9543,1.0,1.0,0.9543
11,11940766,000968,2019-06-30,0.9267,0.9267,1.0,1.0,0.9267
12,11940765,000968,2019-06-28,0.9267,0.9267,1.0,1.0,0.9267
13,11923960,000968,2019-06-27,0.9317,0.9317,1.0,1.0,0.9317
14,11923959,000968,2019-06-26,0.926,0.926,1.0,1.0,0.926
15,11913325,000968,2019-06-25,0.923,0.923,1.0,1.0,0.923
16,11905587,000968,2019-06-24,0.9306,0.9306,1.0,1.0,0.9306
17,11894528,000968,2019-06-21,0.9305,0.9305,1.0,1.0,0.9305
18,11886218,000968,2019-06-20,0.9209,0.9209,1.0,1.0,0.9209
19,11878346,000968,2019-06-19,0.9031,0.9031,1.0,1.0,0.9031
20,11869653,000968,2019-06-18,0.8922,0.8922,1.0,1.0,0.8922
21,11867375,000968,2019-06-17,0.8904,0.8904,1.0,1.0,0.8904
22,11852363,000968,2019-06-14,0.8907,0.8907,1.0,1.0,0.8907
23,11843072,000968,2019-06-13,0.8999,0.8999,1.0,1.0,0.8999
24,11834866,000968,2019-06-12,0.8953,0.8953,1.0,1.0,0.8953
25,11824426,000968,2019-06-11,0.9016,0.9016,1.0,1.0,0.9016
26,11818578,000968,2019-06-10,0.8755,0.8755,1.0,1.0,0.8755
27,11808118,000968,2019-06-06,0.8673,0.8673,1.0,1.0,0.8673
28,11800678,000968,2019-06-05,0.8793,0.8793,1.0,1.0,0.8793
29,11791619,000968,2019-06-04,0.8884,0.8884,1.0,1.0,0.8884
30,11784169,000968,2019-06-03,0.8977,0.8977,1.0,1.0,0.8977
31,11773095,000968,2019-05-31,0.9037,0.9037,1.0,1.0,0.9037
32,11766502,000968,2019-05-30,0.904,0.904,1.0,1.0,0.904
33,11757263,000968,2019-05-29,0.9126,0.9126,1.0,1.0,0.9126
34,11751223,000968,2019-05-28,0.9137,0.9137,1.0,1.0,0.9137
35,11741638,000968,2019-05-27,0.91,0.91,1.0,1.0,0.91
36,11731430,000968,2019-05-24,0.8963,0.8963,1.0,1.0,0.8963
37,11723624,000968,2019-05-23,0.8983,0.8983,1.0,1.0,0.8983
38,11715954,000968,2019-05-22,0.9162,0.9162,1.0,1.0,0.9162
39,11708646,000968,2019-05-21,0.9185,0.9185,1.0,1.0,0.9185
40,11706029,000968,2019-05-20,0.9055,0.9055,1.0,1.0,0.9055
41,11690235,000968,2019-05-17,0.9113,0.9113,1.0,1.0,0.9113
